"","CASE_CODE","MEMBER_STATE","AID_INSTRUMENT","CASE_TYPE","START_DATE","END_DATE","NOTIFICATION_DATE","DECISIONS","OBJECTIVES","DECISION_DATE","DG_RESPONSIBLE","BANKS_INVOLVED"
"133","N557/2009","United Kingdom","Other forms of equity intervention","Ad Hoc Case","12/13/2005","","3/8/2005","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","4/21/2006","Competition DG","RBS"
"134","N336/2009","Slovakia","Guarantee, Other forms of equity intervention","Scheme","12/7/2005","12/30/2006","3/29/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/7/2005","Competition DG",""
"135","NN53a/2008","Hungary","Soft loan","Scheme","11/30/2005","6/29/2006","11/2/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/13/2006","Competition DG",""
"136","N321/2010","Ireland","Guarantee","Scheme","11/30/2005","5/30/2006","5/11/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/19/2005","Competition DG",""
"137","N415/2009","Cyprus","Guarantee","Scheme","11/29/2005","5/30/2006","9/8/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/21/2005","Competition DG",""
"138","SA.34081","Ireland","Other forms of equity intervention","Ad Hoc Case","11/29/2005","","11/19/2005","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","6/28/2007","Competition DG","Anglo Irish Bank"
"139","N534/2010","Germany","Other forms of equity intervention","Individual Application","10/31/2005","12/30/2010","10/12/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/12/2005","Competition DG","Hypo Real Estate"
"140","N544/2009","Luxembourg","Guarantee","Ad Hoc Case","10/31/2005","2/27/2006","10/21/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/29/2005","Competition DG","Dexia"
"141","N531/2008","Sweden","Guarantee","Scheme","10/31/2005","4/29/2006","10/5/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/25/2005","Competition DG",""
"142","N536/2010","Denmark","Direct grant","Ad Hoc Case","10/19/2005","10/30/2010","10/14/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/24/2006","Competition DG","Fionia Bank"
"143","N407/2010","Slovenia","Soft loan","Scheme","10/18/2005","","9/6/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/18/2005","Competition DG",""
"144","N529/2010","United Kingdom","Guarantee, Other forms of equity intervention","Scheme","10/12/2005","12/30/2005","9/30/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/12/2005","Competition DG",""
"145","N51/2010","Germany","Guarantee","Individual Application","9/30/2005","11/29/2005","9/22/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/6/2005","Competition DG","WestLB"
"146","N328/2009","Greece","Guarantee, Other forms of equity intervention","Scheme","9/17/2005","12/30/2005","8/17/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/17/2005","Competition DG",""
"147","N379/2009","Germany","Other","Scheme","9/14/2005","","6/7/2005","Article 4(3) - decision not to raise objections","Promotion of export and internationalisation, Remedy for a serious disturbance in the economy","9/14/2005","Competition DG",""
"148","N264/2009","Finland","Other forms of equity intervention","Scheme","9/10/2005","4/30/2006","5/28/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/10/2005","Competition DG",""
"149","N314/2010","Italy","Other forms of equity intervention","Scheme","9/6/2005","12/30/2005","7/30/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/5/2005","Competition DG",""
"150","N349/2009","Denmark","Guarantee, Other forms of equity intervention","Scheme","8/17/2005","2/1/2006","7/9/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/16/2005","Competition DG",""
"151","NN2/2010","Denmark","Other forms of equity intervention","Scheme","8/17/2005","12/30/2005","8/3/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/16/2005","Competition DG",""
"152","N260/2010","Sweden","Other forms of equity intervention","Scheme","8/16/2005","2/16/2006","7/19/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/4/2005","Competition DG",""
"153","N251/2009","Germany","Guarantee","Ad Hoc Case","8/14/2005","2/14/2006","7/9/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/9/2005","Competition DG","NordLB"
"154","N669/2009","Netherlands","Guarantee, Other forms of equity intervention","Ad Hoc Case","7/31/2005","4/15/2012","6/25/2005","Other","Remedy for a serious disturbance in the economy","2/4/2006","Competition DG","ABN AMRO"
"155","N257/2010","Germany","Other","Scheme","7/21/2005","1/21/2006","4/28/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/30/2005","Competition DG",""
"156","N331/2010","Belgium","Soft loan","Ad Hoc Case","7/9/2005","","6/22/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/8/2005","Competition DG","Kaupting"
"157","N317/2010","Luxembourg","Soft loan","Ad Hoc Case","7/9/2005","","6/9/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/8/2005","Competition DG","Kaupting"
"158","N663/2009","Netherlands","Guarantee","Scheme","7/6/2005","12/30/2005","2/25/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/6/2005","Competition DG",""
"159","N263/2010","Latvia","Guarantee","Scheme","6/30/2005","12/30/2005","5/28/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/29/2005","Competition DG",""
"160","N314/2009","Spain","Guarantee","Scheme","6/30/2005","6/29/2006","6/4/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/24/2005","Competition DG",""
"161","N315/2010","Spain","Other forms of equity intervention","Scheme","6/30/2005","12/30/2005","5/3/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/6/2005","Competition DG",""
"162","N664/2006","Belgium","Guarantee, Other, Other forms of equity intervention","Ad Hoc Case","6/29/2005","","2/17/2005","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision","Remedy for a serious disturbance in the economy","11/17/2005","Competition DG","KBC"
"163","N224/2010","Belgium","Other forms of equity intervention","Ad Hoc Case","6/29/2005","12/30/2009","4/28/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","5/19/2006","Competition DG","Ethias"
"164","N249/2009","Germany","Guarantee","Individual Application","6/29/2005","12/30/2008","7/5/2005","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","9/27/2005","Competition DG",""
"165","N329/2009","Hungary","Guarantee","Scheme","6/29/2005","6/29/2006","4/28/2005","Article 4(3) - decision not to raise objections","Social support to individual consumers","7/12/2005","Competition DG",""
"166","N331/2009","Netherlands","Guarantee","Scheme","6/29/2005","12/30/2005","6/16/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","7/6/2005","Competition DG",""
"167","N241/2010","Ireland","Other forms of equity intervention","Ad Hoc Case","6/25/2005","12/25/2005","6/8/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/25/2005","Competition DG","Anglo Irish Bank"
"168","N158/2009","Austria","Guarantee, Other forms of equity intervention","Ad Hoc Case","6/16/2005","6/16/2015","4/6/2005","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","8/20/2005","Competition DG","Hypo Tirol Bank AG"
"169","NN68/2008","Germany","Direct grant, Guarantee","Ad Hoc Case","6/16/2005","","8/31/2005","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision","Remedy for a serious disturbance in the economy","9/19/2007","Competition DG","HSH Nordbank AG"
"170","N28/2010","Slovenia","Guarantee","Scheme","6/16/2005","12/30/2005","6/1/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/21/2005","Competition DG",""
"171","N200/2009","Italy","Guarantee","Scheme","6/8/2005","12/8/2005","5/28/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/15/2005","Competition DG",""
"172","N663/2006","Germany","Guarantee, Other forms of equity intervention","Ad Hoc Case","6/1/2005","6/29/2015","12/17/2004","Article 4(3) - decision not to raise objections, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Corrigendum","Remedy for a serious disturbance in the economy","2/21/2006","Competition DG","Landesbank Baden-Württemberg"
"173","N302/2009","Germany","Other forms of equity intervention","Individual Application","6/1/2005","12/30/2010","6/2/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/12/2005","Competition DG","Hypo Real Estate"
"174","NN50/2008","Portugal","Other forms of equity intervention","Scheme","5/19/2005","11/19/2005","11/4/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/19/2005","Competition DG",""
"175","N154/2009","Germany","Guarantee, Other forms of equity intervention","Ad Hoc Case","5/14/2005","5/14/2005","4/6/2005","Article 4(3) - decision not to raise objections","Restructuring firms in difficulty","5/14/2005","Competition DG","IKB"
"176","N213/2009","Germany","Other forms of equity intervention","Individual Application","5/14/2005","12/30/2014","4/5/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/6/2005","Competition DG",""
"177","C8/2006","Ireland","Other forms of equity intervention","Ad Hoc Case","5/12/2005","","4/13/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/11/2005","Competition DG","Allied Irish Bank"
"178","N223/2010","Belgium","Guarantee, Other forms of equity intervention","Ad Hoc Case","5/11/2005","","4/28/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","5/11/2005","Competition DG",""
"179","N127/2010","France","Other forms of equity intervention","Individual Application","5/10/2005","","2/24/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/7/2005","Competition DG","Banque Populaire / Caisse d'Épargne"
"180","N687/2006","Latvia","Guarantee, Other forms of equity intervention, Soft loan","Ad Hoc Case","5/10/2005","12/30/2010","5/10/2005","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Corrigendum","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","2/27/2007","Competition DG","Parex Banka"
"181","C9/2008","Latvia","Other forms of equity intervention","Ad Hoc Case","5/10/2005","","3/28/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/10/2005","Competition DG","JSC Parex Banka"
"182","N208/2009","Finland","Guarantee","Scheme","4/30/2005","12/30/2005","4/2/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","4/29/2005","Competition DG",""
"183","N161/2010","France","Guarantee","Scheme","4/30/2005","11/29/2005","4/27/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/11/2005","Competition DG",""
"184","C25/2010","Sweden","Guarantee","Scheme","4/30/2005","10/30/2005","3/15/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Sectoral development","4/27/2005","Competition DG",""
"185","N639/2008","Sweden","Other forms of equity intervention","Ad Hoc Case","4/24/2005","4/19/2008","5/4/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","5/11/2006","Competition DG","Carnegie"
"186","N19/2010","United Kingdom","Guarantee","Scheme","4/22/2005","12/30/2005","3/16/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","4/20/2005","Competition DG",""
"187","N532/2009","United Kingdom","Guarantee","Scheme","4/21/2005","12/30/2005","8/11/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/26/2005","Competition DG",""
"188","N674/2009","Denmark","Other forms of equity intervention, Soft loan","Ad Hoc Case","4/14/2005","10/14/2005","3/5/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/19/2005","Competition DG","Fionia Bank"
"189","C2/2009","United Kingdom","Guarantee, Other forms of equity intervention","Scheme","4/14/2005","10/14/2005","3/24/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","4/14/2005","Competition DG",""
"190","C16/2009","United Kingdom","Guarantee","Scheme","4/5/2005","4/4/2007","3/18/2005","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy, Social support to individual consumers","8/12/2005","Competition DG",""
"191","NN19/2006","Austria","Guarantee, Other forms of equity intervention","Individual Application","4/3/2005","","11/8/2006","Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","12/8/2007","Competition DG","Österreichische Volksbanken AG"
"192","SA.34440","Hungary","Other forms of equity intervention","Ad Hoc Case","3/30/2005","2/18/2006","10/14/2005","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Other","Remedy for a serious disturbance in the economy","2/21/2008","Competition DG","FHB"
"193","N560/2009","Netherlands","Guarantee, Other forms of equity intervention","Individual Application","3/30/2005","","11/10/2005","Article 4(3) - decision not to raise objections, Article 9 - revocation of a decision","Remedy for a serious disturbance in the economy","11/16/2005","Competition DG","ING"
"194","N664/2009","United Kingdom","Direct grant, Soft loan","Ad Hoc Case","3/29/2005","","3/23/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/24/2006","Competition DG","Dunfermline Building Society"
"195","NN48/2008","Spain","Guarantee, Other forms of equity intervention","Ad Hoc Case","3/28/2005","","3/30/2005","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","9/20/2006","Competition DG","Caja Castilla-La Mancha"
"196","C56/2006","France","Other forms of equity intervention","Scheme","3/26/2005","","3/17/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/23/2005","Competition DG",""
"197","C18/2009","Ireland","Other forms of equity intervention","Ad Hoc Case","3/26/2005","9/26/2005","12/16/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/25/2005","Competition DG","Bank of Ireland"
"198","N583/2009","Slovenia","Soft loan","Scheme","3/19/2005","9/19/2005","12/15/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/19/2005","Competition DG",""
"199","NN60/2009","United Kingdom","Guarantee","Scheme","3/19/2005","3/30/2006","1/29/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/23/2005","Competition DG",""
"200","N149/2009","Poland","Guarantee","Scheme","3/12/2005","12/30/2005","4/6/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/24/2005","Competition DG",""
"201","N61/2009","Italy","Other forms of equity intervention","Scheme","2/19/2005","12/30/2005","2/15/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/19/2005","Competition DG",""
"202","N241/2009","Hungary","Guarantee, Other forms of equity intervention","Scheme","2/17/2005","12/30/2005","5/26/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","9/2/2005","Competition DG",""
"203","N47/2010","Sweden","Other forms of equity intervention","Scheme","2/16/2005","8/16/2005","2/8/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/9/2005","Competition DG",""
"204","N20/2010","Denmark","Guarantee, Other forms of equity intervention","Scheme","2/2/2005","8/2/2005","1/21/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/2/2005","Competition DG",""
"205","N371/2009","Finland","Guarantee","Scheme","1/31/2005","4/29/2005","1/27/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/4/2005","Competition DG",""
"206","SA.33402","Germany","Guarantee","Individual Application","1/31/2005","2/27/2010","12/22/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/20/2005","Competition DG",""
"207","N255/2009","France","Other forms of equity intervention","Scheme","1/20/2005","8/30/2005","1/18/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/27/2005","Competition DG",""
"208","N400/2009","Ireland","","Ad Hoc Case","1/20/2005","","2/3/2005","Article 4(2) - decision does not constitute aid","Remedy for a serious disturbance in the economy","2/15/2005","Competition DG","Anglo Irish Bank "
"209","N548/2008","Ireland","Other","Ad Hoc Case","1/19/2005","","1/7/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/13/2005","Competition DG","Anglo Irish Bank "
"210","N80/2010","Denmark","Other forms of equity intervention","Ad Hoc Case","1/14/2005","","11/3/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/23/2007","Competition DG","Roskilde Bank"
"211","N615/2008","Poland","Direct grant","Individual Application","1/7/2005","","6/4/2005","Article 4(3) - decision not to raise objections","Employment, Regional development","9/21/2005","Competition DG","Unicredit Processes and Administration SA"
"212","N425/2010","Italy","Other forms of equity intervention","Scheme","1/1/2005","12/30/2005","12/17/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/22/2004","Competition DG",""
"213","N69/2009","Austria","Other forms of equity intervention","Individual Application","12/31/2004","","5/18/2005","Article 4(2) - decision does not constitute aid","Other","7/21/2005","Competition DG","Hypo Steiermark"
"214","N510/2009","Belgium","Direct grant","Scheme","12/31/2004","12/30/2005","9/24/2005","Article 4(3) - decision not to raise objections","Promotion of export and internationalisation","11/5/2005","Competition DG",""
"215","N625/2008","Germany","Guarantee","Individual Application","12/31/2004","","12/7/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/21/2004","Competition DG",""
"216","N466/2009","Hungary","Guarantee, Provision of risk capital","Scheme","12/31/2004","6/29/2005","11/9/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/11/2005","Competition DG",""
"217","SA.34064","Ireland","Tax allowance","Scheme","12/31/2004","12/30/2007","11/17/2004","Article 4(3) - decision not to raise objections","Services of general economic interest","6/16/2005","Competition DG",""
"218","N602/2008","Latvia","Guarantee","Scheme","12/31/2004","6/29/2005","12/15/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/21/2004","Competition DG",""
"219","NN46/2009","Latvia","Other forms of equity intervention","Ad Hoc Case","12/31/2004","","10/20/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, SMEs","11/18/2005","Competition DG","Latvian Mortgage and Land Bank"
"220","SA.33927","Germany","Other, Provision of risk capital","Individual Application","12/30/2004","","3/20/2008","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","3/29/2008","Competition DG","Commerzbank"
"221","N412/2009","Germany","Guarantee","Individual Application","12/30/2004","","12/16/2004","Article 4(3) - decision not to raise objections","Other, Remedy for a serious disturbance in the economy","12/21/2004","Competition DG","IKB"
"222","SA.34078","Poland","Direct grant","Individual Application","12/30/2004","12/30/2006","7/16/2004","Article 4(3) - decision not to raise objections","Employment, Regional development","10/29/2004","Competition DG",""
"223","N712/2006","Germany","Other forms of equity intervention","Ad Hoc Case","12/21/2004","","1/7/2005","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision","Rescuing firms in difficulty, Restructuring firms in difficulty","9/28/2006","Competition DG","Sparkasse Köln/Bonn"
"224","N550/2009","Belgium","Provision of risk capital","Ad Hoc Case","12/18/2004","","11/26/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/17/2004","Competition DG","KBC"
"225","SA.34148","Germany","Guarantee, Other forms of equity intervention","Ad Hoc Case","12/18/2004","","2/3/2005","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","6/21/2006","Competition DG","BayernLB"
"226","SA.34344","Germany","Guarantee, Provision of risk capital","Individual Application","12/18/2004","6/17/2005","12/3/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/17/2004","Competition DG","BayernLB"
"227","N245/2010","Luxembourg","Other forms of equity intervention","Ad Hoc Case","12/11/2004","","5/4/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","5/11/2005","Competition DG","Fortis"
"228","N507/2008","Slovenia","Guarantee","Scheme","12/11/2004","6/10/2005","10/23/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/11/2004","Competition DG",""
"229","N533/2010","Austria","Guarantee, Other forms of equity intervention","Ad Hoc Case","12/8/2004","6/29/2005","10/7/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy, Rescuing firms in difficulty","12/8/2004","Competition DG",""
"230","N557/2008","France","Guarantee, Other forms of equity intervention, Provision of risk capital","Scheme","12/7/2004","6/7/2005","11/18/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","2/3/2005","Competition DG",""
"231","N330/2009","Netherlands","Other forms of equity intervention","Ad Hoc Case","12/7/2004","","6/21/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/27/2006","Competition DG","SNS REAAL N.V."
"232","N553/2010","Netherlands","Other forms of equity intervention","Ad Hoc Case","12/7/2004","","11/24/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","8/25/2005","Competition DG","SNS REAAL N.V."
"233","NN54b/2008","Portugal","Guarantee","Ad Hoc Case","12/4/2004","6/4/2005","12/2/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/12/2005","Competition DG","Banco privado portugues"
"234","SA.32554","Netherlands","Other forms of equity intervention","Scheme","11/30/2004","","7/5/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/18/2007","Competition DG","SNS Reaa"
"235","N515/2007","Netherlands","Other forms of equity intervention","Ad Hoc Case","11/30/2004","","6/21/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","8/16/2006","Competition DG","AEGON"
"236","N597/2006","Netherlands","Soft loan","Individual Application","11/30/2004","5/30/2005","11/11/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/26/2004","Competition DG","AEGON"
"237","NN51/2008","Latvia","Guarantee, Other forms of equity intervention, Soft loan","Individual Application","11/20/2004","5/20/2005","11/6/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/23/2004","Competition DG","JSC Parex Banka"
"238","C10/2008","Belgium","Guarantee, Other forms of equity intervention","Ad Hoc Case","11/18/2004","","10/1/2004","Article 4(3) - decision not to raise objections, Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision, Corrigendum","Remedy for a serious disturbance in the economy","5/30/2008","Competition DG","Dexia"
"239","NN3/2009","France","Guarantee, Other forms of equity intervention","Ad Hoc Case","11/18/2004","","9/30/2004","Article 4(3) - decision not to raise objections, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","3/12/2005","Competition DG","Dexia"
"240","N535/2010","Greece","Guarantee, Provision of risk capital","Ad Hoc Case","11/18/2004","5/18/2005","10/7/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/18/2004","Competition DG",""
"241","NN2/2009","Luxembourg","Other forms of equity intervention","Ad Hoc Case","11/18/2004","","9/30/2004","Article 4(3) - decision not to raise objections, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","3/12/2005","Competition DG","Dexia banque internationale Luxembourg S.A."
"242","N537/2010","Belgium","Guarantee","Ad Hoc Case","11/17/2004","5/17/2005","11/11/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/18/2004","Competition DG","Fortis"
"243","N537/2009","Finland","Guarantee","Scheme","11/12/2004","4/29/2005","11/10/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","11/12/2004","Competition DG",""
"244","N456/2009","Netherlands","Other forms of equity intervention","Ad Hoc Case","11/11/2004","","10/18/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","11/30/2004","Competition DG","ING"
"245","N677/2009","Latvia","Guarantee, Other forms of equity intervention, Soft loan","Ad Hoc Case","11/10/2004","5/10/2005","1/25/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/10/2005","Competition DG","JSC Parex Banka"
"246","NN60/2008","Portugal","Guarantee, Other forms of equity intervention","Ad Hoc Case","11/10/2004","","11/6/2004","Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision","Remedy for a serious disturbance in the economy","3/26/2008","Competition DG","BPN"
"247","NN41/2008","Spain","Other forms of equity intervention","Scheme","11/3/2004","5/3/2005","10/7/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","5/19/2005","Competition DG",""
"248","N511/2009","Sweden","Guarantee","Scheme","10/31/2004","4/29/2005","10/19/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/28/2004","Competition DG",""
"249","N665/2009","Finland","Guarantee","Ad Hoc Case","10/30/2004","","10/28/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","1/20/2005","Competition DG","Kaupthing Bank Finland"
"250","NN45/2008","Portugal","Guarantee","Scheme","10/30/2004","12/30/2005","10/14/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","12/16/2004","Competition DG",""
"251","N356/2009","France","Guarantee","Scheme","10/29/2004","","10/8/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy, Restructuring firms in difficulty","11/19/2004","Competition DG",""
"252","N326/2009","Austria","Guarantee, Other forms of equity intervention","Scheme","10/26/2004","12/30/2005","6/14/2005","Article 4(3) - decision not to raise objections","Other, Remedy for a serious disturbance in the economy","6/29/2005","Competition DG",""
"253","N628/2008","Austria","Guarantee, Other, Other forms of equity intervention","Scheme","10/26/2004","6/29/2006","11/29/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/16/2005","Competition DG",""
"254","E10/2000","Austria","Guarantee, Other, Other forms of equity intervention","Scheme","10/26/2004","12/30/2006","6/8/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/24/2006","Competition DG",""
"255","NN40/2009","Austria","Guarantee, Other forms of equity intervention","Scheme","10/26/2004","6/29/2007","11/30/2006","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/15/2006","Competition DG",""
"256","NN50/2010","Sweden","Soft loan","Individual Application","10/26/2004","4/26/2005","11/11/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/14/2004","Competition DG","Carnegie"
"257","N44/2009","Netherlands","Guarantee","Scheme","10/22/2004","6/29/2004","10/16/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/29/2004","Competition DG",""
"258","NN44/2008","Belgium","Other forms of equity intervention","Ad Hoc Case","10/19/2004","4/19/2005","10/19/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/11/2005","Competition DG","Ethias"
"259","NN36/2008","Denmark","Guarantee","Ad Hoc Case","10/19/2004","12/30/2006","10/2/2004","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","10/9/2004","Competition DG",""
"260","NN42/2008","Spain","Guarantee","Scheme","10/19/2004","6/29/2006","10/12/2004","Article 4(3) - decision not to raise objections, Corrigendum","Remedy for a serious disturbance in the economy","4/22/2005","Competition DG",""
"261","N274/2009","Germany","Guarantee, Other forms of equity intervention","Scheme","10/16/2004","12/30/2005","5/28/2005","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","6/21/2005","Competition DG",""
